,AdDeviceStatsId,AdGroupId,AdId,Ad Length,CampaignId,Clicks,Cost,Device,Impressions,PulledDate,StatDate,TotalViews,CustomerId
0,14795044,52994626044,247281503695,30 Sec,1045530918,0,7681700,Computers,634,2018-02-12 18:26:03.903,2018-01-24 00:00:00.000,259,2492282688
1,14795045,56803811168,247281503674,15 Sec,1045777582,0,10000,Mobile devices with full browsers,1,2018-02-12 18:26:04.030,2018-01-24 00:00:00.000,1,2492282688
2,14795046,52994626044,247281503695,30 Sec,1045530918,0,360000,Other,28,2018-02-12 18:26:03.980,2018-01-24 00:00:00.000,10,2492282688
3,14795047,52994625524,247281503683,30 Sec,1045530918,0,3380000,Computers,212,2018-02-12 18:26:03.950,2018-01-24 00:00:00.000,129,2492282688
4,14795048,52994625524,247281503683,30 Sec,1045530918,0,200000,Other,17,2018-02-12 18:26:03.857,2018-01-24 00:00:00.000,9,2492282688
5,14795049,52869993498,247281503686,15 Sec,1045777582,25,135444520,Mobile devices with full browsers,14901,2018-02-12 18:26:04.107,2018-01-24 00:00:00.000,3648,2492282688
6,14795050,52994626004,247281503659,30 Sec,1045530918,0,44190680,Computers,3430,2018-02-12 18:26:04.183,2018-01-24 00:00:00.000,1367,2492282688
7,14795051,59777089668,247281503692,15 Sec,1045777582,1,20477740,Tablets with full browsers,1994,2018-02-12 18:26:04.217,2018-01-24 00:00:00.000,578,2492282688
8,14795052,51147664557,247281503680,15 Sec,1045777582,0,570000,Mobile devices with full browsers,71,2018-02-12 18:26:04.263,2018-01-24 00:00:00.000,28,2492282688
9,14795053,59777089668,247281503692,15 Sec,1045777582,5,38216510,Mobile devices with full browsers,4489,2018-02-12 18:26:04.137,2018-01-24 00:00:00.000,1008,2492282688
10,14795054,52994626004,247281503659,30 Sec,1045530918,0,1700000,Other,200,2018-02-12 18:26:04.340,2018-01-24 00:00:00.000,58,2492282688
11,14795055,52869993498,247281503686,15 Sec,1045777582,8,58689300,Tablets with full browsers,5462,2018-02-12 18:26:04.060,2018-01-24 00:00:00.000,1685,2492282688
12,14795056,51147664557,247281503680,15 Sec,1045777582,0,680000,Tablets with full browsers,47,2018-02-12 18:26:04.293,2018-01-24 00:00:00.000,23,2492282688
13,14795057,52915181722,247281503656,15 Sec,1045777582,73,231155180,Mobile devices with full browsers,28132,2018-02-12 18:26:04.403,2018-01-24 00:00:00.000,5741,2492282688
14,14795058,52994625764,247281503671,30 Sec,1045530918,0,24594470,Computers,2017,2018-02-12 18:26:04.607,2018-01-24 00:00:00.000,821,2492282688
15,14795059,51147664317,247281503668,15 Sec,1045777582,2,34303340,Tablets with full browsers,3643,2018-02-12 18:26:04.480,2018-01-24 00:00:00.000,925,2492282688
16,14795060,52994625964,247281503689,30 Sec,1045530918,0,22553670,Computers,1381,2018-02-12 18:26:04.560,2018-01-24 00:00:00.000,683,2492282688
17,14795061,52994625964,247281503689,30 Sec,1045530918,0,280000,Other,30,2018-02-12 18:26:04.637,2018-01-24 00:00:00.000,8,2492282688
18,14795062,52915181722,247281503656,15 Sec,1045777582,12,121323470,Tablets with full browsers,12303,2018-02-12 18:26:04.373,2018-01-24 00:00:00.000,3162,2492282688
19,14795063,51147664317,247281503668,15 Sec,1045777582,4,70365920,Mobile devices with full browsers,8802,2018-02-12 18:26:04.450,2018-01-24 00:00:00.000,1732,2492282688
20,14795064,52994625764,247281503671,30 Sec,1045530918,0,1180000,Other,118,2018-02-12 18:26:04.530,2018-01-24 00:00:00.000,36,2492282688
21,14872400,52994626004,247281503659,30 Sec,1045530918,8,328273780,Computers,24218,2018-02-12 18:26:12.433,2018-01-25 00:00:00.000,8120,2492282688
22,14872401,52869993498,247281503686,15 Sec,1045777582,18,71247630,Mobile devices with full browsers,6884,2018-02-12 18:26:12.513,2018-01-25 00:00:00.000,2083,2492282688
23,14872402,52994626004,247281503659,30 Sec,1045530918,1,12500000,Other,1617,2018-02-12 18:26:12.560,2018-01-25 00:00:00.000,330,2492282688
24,14872403,52869993498,247281503686,15 Sec,1045777582,1,33309430,Tablets with full browsers,2835,2018-02-12 18:26:12.480,2018-01-25 00:00:00.000,1015,2492282688
25,14872404,51147664557,247281503680,15 Sec,1045777582,0,240000,Tablets with full browsers,32,2018-02-12 18:26:12.637,2018-01-25 00:00:00.000,10,2492282688
26,14872405,59777089668,247281503692,15 Sec,1045777582,0,10210000,Mobile devices with full browsers,1001,2018-02-12 18:26:12.670,2018-01-25 00:00:00.000,277,2492282688
27,14872406,59777089668,247281503692,15 Sec,1045777582,0,5161660,Tablets with full browsers,480,2018-02-12 18:26:12.590,2018-01-25 00:00:00.000,149,2492282688
28,14872407,51147664557,247281503680,15 Sec,1045777582,0,750000,Mobile devices with full browsers,37,2018-02-12 18:26:12.700,2018-01-25 00:00:00.000,22,2492282688
29,14872408,52994626044,247281503695,30 Sec,1045530918,0,980000,Other,100,2018-02-12 18:26:12.933,2018-01-25 00:00:00.000,25,2492282688
30,14872409,52994625524,247281503683,30 Sec,1045530918,0,16180000,Computers,1001,2018-02-12 18:26:12.747,2018-01-25 00:00:00.000,563,2492282688
31,14872410,52994626044,247281503695,30 Sec,1045530918,0,35134800,Computers,2480,2018-02-12 18:26:12.903,2018-01-25 00:00:00.000,936,2492282688
32,14872411,52994625524,247281503683,30 Sec,1045530918,0,870000,Other,70,2018-02-12 18:26:12.827,2018-01-25 00:00:00.000,29,2492282688
33,14872412,56803811168,247281503674,15 Sec,1045777582,0,0,Mobile devices with full browsers,2,2018-02-12 18:26:12.780,2018-01-25 00:00:00.000,0,2492282688
34,14872413,56803811168,247281503674,15 Sec,1045777582,0,60000,Tablets with full browsers,4,2018-02-12 18:26:12.857,2018-01-25 00:00:00.000,3,2492282688
35,14872414,52915181722,247281503656,15 Sec,1045777582,42,149620430,Mobile devices with full browsers,15978,2018-02-12 18:26:13.123,2018-01-25 00:00:00.000,4027,2492282688
36,14872415,52994625764,247281503671,30 Sec,1045530918,3,177824990,Computers,15165,2018-02-12 18:26:12.967,2018-01-25 00:00:00.000,4614,2492282688
37,14872416,52994625964,247281503689,30 Sec,1045530918,1,147704180,Computers,9733,2018-02-12 18:26:13.013,2018-01-25 00:00:00.000,3653,2492282688
38,14872417,51147664317,247281503668,15 Sec,1045777582,1,15186120,Tablets with full browsers,1524,2018-02-12 18:26:13.170,2018-01-25 00:00:00.000,464,2492282688
39,14872418,52915181722,247281503656,15 Sec,1045777582,23,89616240,Tablets with full browsers,8239,2018-02-12 18:26:13.043,2018-01-25 00:00:00.000,2523,2492282688
40,14872419,52994625964,247281503689,30 Sec,1045530918,0,1140000,Other,163,2018-02-12 18:26:13.200,2018-01-25 00:00:00.000,30,2492282688
41,14872420,52994625764,247281503671,30 Sec,1045530918,0,9600000,Other,1292,2018-02-12 18:26:13.230,2018-01-25 00:00:00.000,232,2492282688
42,14872421,51147664317,247281503668,15 Sec,1045777582,9,28706250,Mobile devices with full browsers,3252,2018-02-12 18:26:13.090,2018-01-25 00:00:00.000,791,2492282688
43,14948649,52994626004,247281503659,30 Sec,1045530918,7,298171350,Computers,18918,2018-02-12 18:26:20.013,2018-01-26 00:00:00.000,6635,2492282688
44,14948650,51147664557,247281503680,15 Sec,1045777582,1,550000,Tablets with full browsers,52,2018-02-12 18:26:20.090,2018-01-26 00:00:00.000,18,2492282688
45,14948651,59777089668,247281503692,15 Sec,1045777582,1,5843820,Tablets with full browsers,505,2018-02-12 18:26:19.950,2018-01-26 00:00:00.000,174,2492282688
46,14948652,52869993498,247281503686,15 Sec,1045777582,14,73576000,Mobile devices with full browsers,7399,2018-02-12 18:26:19.903,2018-01-26 00:00:00.000,2132,2492282688
47,14948653,59777089668,247281503692,15 Sec,1045777582,0,7571660,Mobile devices with full browsers,679,2018-02-12 18:26:20.137,2018-01-26 00:00:00.000,215,2492282688
48,14948654,51147664557,247281503680,15 Sec,1045777582,0,1270000,Mobile devices with full browsers,100,2018-02-12 18:26:20.170,2018-01-26 00:00:00.000,42,2492282688
49,14948655,52869993498,247281503686,15 Sec,1045777582,2,40430000,Tablets with full browsers,3897,2018-02-12 18:26:19.980,2018-01-26 00:00:00.000,1237,2492282688
50,14948656,52994626004,247281503659,30 Sec,1045530918,1,12720000,Other,1685,2018-02-12 18:26:20.060,2018-01-26 00:00:00.000,286,2492282688
51,14948657,52994625524,247281503683,30 Sec,1045530918,0,29120000,Computers,1664,2018-02-12 18:26:19.450,2018-01-26 00:00:00.000,904,2492282688
52,14948658,56803811168,247281503674,15 Sec,1045777582,0,50000,Mobile devices with full browsers,3,2018-02-12 18:26:19.310,2018-01-26 00:00:00.000,1,2492282688
53,14948659,52994626044,247281503695,30 Sec,1045530918,3,69089210,Computers,4933,2018-02-12 18:26:19.183,2018-01-26 00:00:00.000,1469,2492282688
54,14948660,52994626044,247281503695,30 Sec,1045530918,0,830000,Other,98,2018-02-12 18:26:19.373,2018-01-26 00:00:00.000,15,2492282688
55,14948661,52994625524,247281503683,30 Sec,1045530918,0,1870000,Other,116,2018-02-12 18:26:19.497,2018-01-26 00:00:00.000,69,2492282688
56,14948662,56803811168,247281503674,15 Sec,1045777582,0,220000,Tablets with full browsers,11,2018-02-12 18:26:19.420,2018-01-26 00:00:00.000,6,2492282688
57,14948663,52915181722,247281503656,15 Sec,1045777582,39,126382110,Mobile devices with full browsers,13717,2018-02-12 18:26:19.530,2018-01-26 00:00:00.000,3314,2492282688
58,14948664,51147664317,247281503668,15 Sec,1045777582,8,30993650,Mobile devices with full browsers,3799,2018-02-12 18:26:19.560,2018-01-26 00:00:00.000,866,2492282688
59,14948665,52915181722,247281503656,15 Sec,1045777582,29,89694510,Tablets with full browsers,8456,2018-02-12 18:26:19.607,2018-01-26 00:00:00.000,2520,2492282688
60,14948666,52994625964,247281503689,30 Sec,1045530918,0,1840000,Other,181,2018-02-12 18:26:19.873,2018-01-26 00:00:00.000,38,2492282688
61,14948667,52994625804,247281503653,30 Sec,1045530918,9,188010000,Computers,15315,2018-02-12 18:26:19.637,2018-01-26 00:00:00.000,4633,2492282688
62,14948668,52994625964,247281503689,30 Sec,1045530918,5,214077290,Computers,12662,2018-02-12 18:26:19.683,2018-01-26 00:00:00.000,4271,2492282688
63,14948669,52994625804,247281503653,30 Sec,1045530918,0,16840000,Other,2086,2018-02-12 18:26:19.827,2018-01-26 00:00:00.000,351,2492282688
64,14948670,52994625764,247281503671,30 Sec,1045530918,0,9300000,Other,1260,2018-02-12 18:26:19.793,2018-01-26 00:00:00.000,218,2492282688
65,14948671,51147664317,247281503668,15 Sec,1045777582,0,18630000,Tablets with full browsers,1924,2018-02-12 18:26:19.763,2018-01-26 00:00:00.000,551,2492282688
66,14948672,52994625764,247281503671,30 Sec,1045530918,3,135911530,Computers,10985,2018-02-12 18:26:19.717,2018-01-26 00:00:00.000,3211,2492282688
67,15072697,59777089668,247281503692,15 Sec,1045777582,0,8770000,Mobile devices with full browsers,894,2018-02-12 18:26:29.013,2018-01-27 00:00:00.000,257,2492282688
68,15072698,59777089668,247281503692,15 Sec,1045777582,0,7670000,Tablets with full browsers,733,2018-02-12 18:26:28.873,2018-01-27 00:00:00.000,229,2492282688
69,15072699,52869993498,247281503686,15 Sec,1045777582,17,69250000,Mobile devices with full browsers,7791,2018-02-12 18:26:28.747,2018-01-27 00:00:00.000,2033,2492282688
70,15072700,52994626004,247281503659,30 Sec,1045530918,4,156880000,Computers,12019,2018-02-12 18:26:28.793,2018-01-27 00:00:00.000,3658,2492282688
71,15072701,51147664557,247281503680,15 Sec,1045777582,0,1250000,Mobile devices with full browsers,95,2018-02-12 18:26:28.903,2018-01-27 00:00:00.000,40,2492282688
72,15072702,52994626004,247281503659,30 Sec,1045530918,0,14740000,Other,2055,2018-02-12 18:26:28.950,2018-01-27 00:00:00.000,306,2492282688
73,15072703,52869993498,247281503686,15 Sec,1045777582,3,36710000,Tablets with full browsers,4057,2018-02-12 18:26:28.827,2018-01-27 00:00:00.000,1192,2492282688
74,15072704,51147664557,247281503680,15 Sec,1045777582,0,560000,Tablets with full browsers,71,2018-02-12 18:26:28.980,2018-01-27 00:00:00.000,30,2492282688
75,15072705,51147664317,247281503668,15 Sec,1045777582,3,30180000,Mobile devices with full browsers,3548,2018-02-12 18:26:29.387,2018-01-27 00:00:00.000,887,2492282688
76,15072706,52994625764,247281503671,30 Sec,1045530918,0,10510000,Other,1480,2018-02-12 18:26:29.577,2018-01-27 00:00:00.000,214,2492282688
77,15072707,52994625764,247281503671,30 Sec,1045530918,1,103860000,Computers,9219,2018-02-12 18:26:29.543,2018-01-27 00:00:00.000,2499,2492282688
78,15072708,52994625964,247281503689,30 Sec,1045530918,5,431140000,Computers,28374,2018-02-12 18:26:29.280,2018-01-27 00:00:00.000,7600,2492282688
79,15072709,52994625804,247281503653,30 Sec,1045530918,2,40180000,Other,5804,2018-02-12 18:26:29.467,2018-01-27 00:00:00.000,825,2492282688
80,15072710,52994625804,247281503653,30 Sec,1045530918,6,295750000,Computers,26540,2018-02-12 18:26:29.513,2018-01-27 00:00:00.000,7454,2492282688
81,15072711,52915181722,247281503656,15 Sec,1045777582,26,93370000,Tablets with full browsers,9495,2018-02-12 18:26:29.327,2018-01-27 00:00:00.000,2738,2492282688
82,15072712,52915181722,247281503656,15 Sec,1045777582,35,126390000,Mobile devices with full browsers,14663,2018-02-12 18:26:29.357,2018-01-27 00:00:00.000,3371,2492282688
83,15072713,51147664317,247281503668,15 Sec,1045777582,3,19820000,Tablets with full browsers,2068,2018-02-12 18:26:29.433,2018-01-27 00:00:00.000,615,2492282688
84,15072714,52994625964,247281503689,30 Sec,1045530918,0,2450000,Other,315,2018-02-12 18:26:29.623,2018-01-27 00:00:00.000,41,2492282688
85,15072715,52994626044,247281503695,30 Sec,1045530918,3,94830000,Computers,6224,2018-02-12 18:26:29.060,2018-01-27 00:00:00.000,1909,2492282688
86,15072716,52994625524,247281503683,30 Sec,1045530918,1,53930000,Computers,2907,2018-02-12 18:26:29.090,2018-01-27 00:00:00.000,1584,2492282688
87,15072717,52994626044,247281503695,30 Sec,1045530918,0,580000,Other,109,2018-02-12 18:26:29.247,2018-01-27 00:00:00.000,10,2492282688
88,15072718,56803811168,247281503674,15 Sec,1045777582,0,0,Mobile devices with full browsers,4,2018-02-12 18:26:29.200,2018-01-27 00:00:00.000,0,2492282688
89,15072719,56803811168,247281503674,15 Sec,1045777582,0,210000,Tablets with full browsers,10,2018-02-12 18:26:29.137,2018-01-27 00:00:00.000,6,2492282688
90,15072720,52994625524,247281503683,30 Sec,1045530918,0,4090000,Other,208,2018-02-12 18:26:29.170,2018-01-27 00:00:00.000,112,2492282688
91,15161459,52994626044,247281503695,30 Sec,1045530918,3,126020000,Computers,8775,2018-02-12 18:26:34.653,2018-01-28 00:00:00.000,2681,2492282688
92,15161460,52994625524,247281503683,30 Sec,1045530918,0,46710000,Computers,2569,2018-02-12 18:26:34.683,2018-01-28 00:00:00.000,1352,2492282688
93,15161461,52994625524,247281503683,30 Sec,1045530918,0,3760000,Other,229,2018-02-12 18:26:34.840,2018-01-28 00:00:00.000,103,2492282688
94,15161462,52994626044,247281503695,30 Sec,1045530918,0,5510000,Other,815,2018-02-12 18:26:34.793,2018-01-28 00:00:00.000,106,2492282688
95,15161463,56803811168,247281503674,15 Sec,1045777582,0,150000,Tablets with full browsers,9,2018-02-12 18:26:34.763,2018-01-28 00:00:00.000,5,2492282688
96,15161464,56803811168,247281503674,15 Sec,1045777582,0,0,Mobile devices with full browsers,2,2018-02-12 18:26:34.730,2018-01-28 00:00:00.000,0,2492282688
97,15161465,52994626004,247281503659,30 Sec,1045530918,4,191680000,Computers,12227,2018-02-12 18:26:35.327,2018-01-28 00:00:00.000,4150,2492282688
98,15161466,52869993498,247281503686,15 Sec,1045777582,6,32120000,Mobile devices with full browsers,2921,2018-02-12 18:26:35.247,2018-01-28 00:00:00.000,903,2492282688
99,15161467,59777089668,247281503692,15 Sec,1045777582,2,7920000,Mobile devices with full browsers,895,2018-02-12 18:26:35.293,2018-01-28 00:00:00.000,216,2492282688
